net,length_um
clknet_1_0__leaf_clk,687.51µm
clk,524.53µm
clknet_1_1__leaf_clk,480.82µm
net20,426.56µm
clknet_0_clk,360.42µm
tcout\[1\],219.65µm
tcout\[0\],213.6µm
tcout\[5\],190.345µm
tcout\[6\],173.44µm
tcout\[7\],144.54µm
tcout\[2\],136.28µm
_032_,131.315µm
_018_,116.23µm
net18,82.08µm
tcout\[3\],76.99µm
tcout\[4\],71.65µm
sine_out_temp\[3\],57.01µm
sine_out_temp\[0\],54.955µm
sine_out_temp\[1\],54.065µm
sine_out_temp\[2\],52.075µm
din0[3],50.79µm
addr0[5],50.39µm
net19,49.54µm
addr0[7],49.41µm
addr0[6],48.55µm
csb0,48.385µm
din0[14],48.28µm
din0[13],48.09µm
din0[9],48.04µm
addr0[3],48.035µm
addr0[0],47.93µm
addr0[1],47.93µm
din0[8],47.9µm
addr0[2],47.785µm
din0[7],47.64µm
addr0[4],47.57µm
din0[15],47.47µm
din0[2],47.47µm
din0[4],47.47µm
din0[5],47.47µm
din0[0],47.24µm
din0[10],47.22µm
din0[12],47.01µm
din0[1],47.01µm
din0[11],46.94µm
din0[6],46.7µm
sine_out_temp\[5\],43.615µm
sine_out_temp\[4\],43.37µm
sine_out_temp\[6\],40.565µm
sine_out_temp\[7\],40.275µm
sine_out_temp\[8\],37.465µm
sine_out_temp\[10\],31.71µm
sine_out_temp\[9\],29.735µm
sine_out_temp\[12\],29.395µm
sine_out_temp\[11\],28.95µm
net8,28.44µm
net7,27.94µm
sine_out_temp\[13\],27.55µm
net1,27.34µm
_033_,25.74µm
net12,25.64µm
net17,25.52µm
_026_,24.88µm
_037_,23.94µm
net2,23.94µm
sine_out_temp\[15\],23.845µm
net3,23.84µm
net4,23.84µm
net14,23.38µm
_027_,23.04µm
net10,22.92µm
net11,22.92µm
net13,22.92µm
_025_,22.27µm
net9,22.1µm
_028_,21.66µm
net5,21.54µm
net15,21.54µm
_024_,21.51µm
net6,21.08µm
net16,21.08µm
_031_,20.62µm
_023_,19.81µm
_029_,19.63µm
sine_out_temp\[14\],19.315µm
_036_,18.03µm
_008_,17.31µm
_004_,16.58µm
_010_,16.39µm
_030_,14.51µm
_021_,14.11µm
_022_,14.11µm
net21,13.68µm
_009_,13.41µm
_006_,12.14µm
_011_,11.75µm
_003_,11.36µm
_012_,10.89µm
_013_,9.51µm
_007_,9.2µm
_020_,8.66µm
_000_,8.06µm
sine_out[0],8.04µm
sine_out[10],8.04µm
sine_out[11],8.04µm
sine_out[12],8.04µm
sine_out[13],8.04µm
sine_out[14],8.04µm
sine_out[15],8.04µm
sine_out[1],8.04µm
sine_out[2],8.04µm
sine_out[3],8.04µm
sine_out[4],8.04µm
sine_out[5],8.04µm
sine_out[6],8.04µm
sine_out[7],8.04µm
sine_out[8],8.04µm
sine_out[9],8.04µm
rst,7.81µm
_002_,7.72µm
_005_,7.72µm
_017_,6.48µm
_001_,5.46µm
_014_,5.1µm
_015_,5.1µm
_035_,4.88µm
_019_,4.58µm
_038_,3.51µm
_016_,2.55µm
_034_,2.3µm
